"","country","priceindex"
"1","Switzerland",124.51
"2","Norway",109.3
"3","Iceland",95.41
"4","Denmark",88.31
"5","United Kingdom",86.68
"6","Luxembourg",80.81
"7","Ireland",79.71
"8","Finland",76.89
"9","Belgium",76.71
"10","France",75.85
"11","Netherlands",74.43
"12","Sweden",73.86
"13","Italy",72.38
"14","Austria",68.14
"15","Germany",65.96
"16","Malta",61.79
"17","Greece",58.92
"18","Spain",56.55
"19","Slovenia",55.6
"20","Estonia",52.49
"21","Portugal",50.55
"22","Croatia",49.82
"23","Latvia",48.71
"24","Belarus",46.26
"25","Lithuania",46.09
"26","Slovakia",45.13
"27","Russia",44.27
"28","Czech Republic",42.69
"29","Hungary",41.75
"30","Montenegro",40.36
"31","Poland",39.62
"32","Romania",36.86
"33","Bosnia And Herzegovina",36.24
"34","Bulgaria",36.13
"35","Serbia",35.42
"36","Albania",33.86
"37","Macedonia",31.66
"38","Ukraine",30.75
"39","Kosovo (Disputed Territory)",30.35
"40","Moldova",27.43
